# k =   0.500000   0.750000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.39484624E+00  -6.90922530E+00   4.85620938E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.42188518E-01   7.50443808E-01  -1.91744709E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    218  -6.10758141E+00  -5.85896587E+00   2.48615540E-01
    219  -6.11371823E+00  -5.86369158E+00   2.50026646E-01
    220  -6.11894306E+00  -5.86794059E+00   2.51002473E-01
    221  -6.12418107E+00  -5.87285621E+00   2.51324862E-01
    222  -6.12911831E+00  -5.87694411E+00   2.52174193E-01
    223  -6.13491643E+00  -5.88143652E+00   2.53479915E-01
    224  -6.14062541E+00  -5.88610031E+00   2.54525100E-01
    225  -6.14603156E+00  -5.89057648E+00   2.55455079E-01
    226  -6.15146277E+00  -5.89474970E+00   2.56713064E-01
    227  -6.15718489E+00  -5.89939924E+00   2.57785648E-01
    228  -6.16225055E+00  -5.90431584E+00   2.57934712E-01
    229  -6.16710596E+00  -5.90861568E+00   2.58490281E-01
    230  -6.17214458E+00  -5.91341804E+00   2.58726546E-01
    231  -6.17768320E+00  -5.91828127E+00   2.59401923E-01
    232  -6.18221439E+00  -5.92218695E+00   2.60027441E-01
    233  -6.18774889E+00  -5.92677359E+00   2.60975298E-01
    234  -6.19279143E+00  -5.93176294E+00   2.61028498E-01
    235  -6.19791776E+00  -5.93559883E+00   2.62318936E-01
    236  -6.20307990E+00  -5.93976388E+00   2.63316023E-01
    237  -6.20693698E+00  -5.94384606E+00   2.63090922E-01
    238  -6.21186621E+00  -5.94806786E+00   2.63798349E-01
    239  -6.21622047E+00  -5.95228598E+00   2.63934483E-01
    240  -6.22172335E+00  -5.95645288E+00   2.65270467E-01
    241  -6.22616473E+00  -5.95982940E+00   2.66335330E-01
    242  -6.23036304E+00  -5.96391899E+00   2.66444049E-01
    243  -6.23480563E+00  -5.96871070E+00   2.66094931E-01
    244  -6.24054346E+00  -5.97320619E+00   2.67337274E-01
    245  -6.24519321E+00  -5.97762663E+00   2.67566579E-01
    246  -6.24956944E+00  -5.98235382E+00   2.67215619E-01
    247  -6.25425569E+00  -5.98661019E+00   2.67645505E-01
    248  -6.25943831E+00  -5.98991286E+00   2.69525448E-01
    249  -6.26397904E+00  -5.99424654E+00   2.69732498E-01
    250  -6.26738267E+00  -5.99831613E+00   2.69066542E-01
    251  -6.27116117E+00  -6.00241499E+00   2.68746182E-01
    252  -6.27597283E+00  -6.00777672E+00   2.68196118E-01
    253  -6.27979953E+00  -6.01147381E+00   2.68325724E-01
    254  -6.28388988E+00  -6.01572024E+00   2.68169640E-01
    255  -6.28841654E+00  -6.02105467E+00   2.67361873E-01
    256  -6.29273652E+00  -6.02527114E+00   2.67465375E-01
    257  -6.29672380E+00  -6.02938500E+00   2.67338803E-01
    258  -6.30046158E+00  -6.03387493E+00   2.66586645E-01
    259  -6.30455061E+00  -6.03775606E+00   2.66794551E-01
    260  -6.30827764E+00  -6.04098351E+00   2.67294125E-01
    261  -6.31224022E+00  -6.04460595E+00   2.67634269E-01
    262  -6.31683984E+00  -6.04793865E+00   2.68901187E-01
    263  -6.32142466E+00  -6.05207672E+00   2.69347940E-01
    264  -6.32579802E+00  -6.05524754E+00   2.70550478E-01
    265  -6.32939568E+00  -6.05870221E+00   2.70693469E-01
    266  -6.33321955E+00  -6.06265933E+00   2.70560225E-01
