# k =   0.250000  -0.000000  -0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.53884461E+00  -7.31094025E+00   2.27904361E-01
# Error est. for CH(vbm) CH(cbm) diff =   9.76322792E-01   8.47958932E-01  -1.28363860E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     49  -1.42609069E+00  -1.75129957E+00  -3.25208880E-01
     50  -1.42987024E+00  -1.75391866E+00  -3.24048420E-01
     51  -1.43468834E+00  -1.75573826E+00  -3.21049921E-01
     52  -1.43966208E+00  -1.75742476E+00  -3.17762675E-01
     53  -1.44285860E+00  -1.75846828E+00  -3.15609680E-01
     54  -1.44613372E+00  -1.75977180E+00  -3.13638076E-01
     55  -1.45003580E+00  -1.76842987E+00  -3.18394072E-01
     56  -1.45222717E+00  -1.77418423E+00  -3.21957058E-01
     57  -1.45456983E+00  -1.77601791E+00  -3.21448081E-01
     58  -1.45636807E+00  -1.77844917E+00  -3.22081106E-01
     59  -1.54405666E+00  -1.97654567E+00  -4.32489009E-01
     60  -1.64832347E+00  -2.00515082E+00  -3.56827352E-01
     61  -1.88201817E+00  -2.07130542E+00  -1.89287243E-01
     62  -2.14427989E+00  -2.11572758E+00   2.85523095E-02
     63  -2.19899866E+00  -2.16975807E+00   2.92405847E-02
     64  -2.22863185E+00  -2.22058542E+00   8.04642806E-03
     65  -2.24772377E+00  -2.23644297E+00   1.12807996E-02
     66  -2.26157780E+00  -2.25141390E+00   1.01639015E-02
     67  -2.27035492E+00  -2.28779140E+00  -1.74364756E-02
     68  -2.29458883E+00  -2.31271635E+00  -1.81275199E-02
     69  -2.31275775E+00  -2.32802816E+00  -1.52704065E-02
     70  -2.37093659E+00  -2.34490045E+00   2.60361392E-02
     71  -2.45712550E+00  -2.35754577E+00   9.95797324E-02
     72  -2.55294228E+00  -2.36936211E+00   1.83580172E-01
     73  -2.60351774E+00  -2.37456672E+00   2.28951017E-01
     74  -2.62868772E+00  -2.39932723E+00   2.29360492E-01
     75  -2.65104504E+00  -2.44551936E+00   2.05525681E-01
     76  -2.67182656E+00  -2.47505239E+00   1.96774168E-01
     77  -2.69462620E+00  -2.48897996E+00   2.05646244E-01
     78  -2.72468375E+00  -2.49636259E+00   2.28321161E-01
     79  -2.75623981E+00  -2.51155964E+00   2.44680170E-01
     80  -2.78404741E+00  -2.54169175E+00   2.42355662E-01
     81  -3.35751309E+00  -2.59532787E+00   7.62185221E-01
     82  -4.67637824E+00  -2.65809408E+00   2.01828417E+00
     83  -4.73246250E+00  -4.16859608E+00   5.63866415E-01
     84  -4.79705880E+00  -4.70222296E+00   9.48358471E-02
     85  -4.84999949E+00  -4.73287953E+00   1.17119960E-01
     86  -4.88878580E+00  -4.75335276E+00   1.35433041E-01
